ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/25/2024 - 6,0.2,"3,452.0","1,036.7",3.8,"5,926.1",0.8,0.8,-0.3,"1,053.1","2,308.3",0.3,-0.2,0.1,50.3,1.7,0.0,0.2,1.3,2.1,-0.1,-0.4,14.4,-0.4,0.0,0.0,0.0,13.7,0.0,0.0
03/25/2024 - 7,0.3,"3,019.3","1,026.6",18.1,"6,053.8",19.7,0.9,-0.4,"1,094.3","2,257.2",0.8,-0.1,0.1,335.5,57.9,0.2,0.1,2.5,3.3,-0.1,-0.4,14.4,-0.3,0.0,0.0,0.0,16.9,0.1,0.0
03/25/2024 - 8,0.2,"3,862.3","1,002.7",2.7,"5,826.3",0.9,0.7,-0.3,836.0,"2,307.6",0.4,-0.2,0.1,52.7,1.9,0.0,0.1,2.4,0.6,-0.1,-0.9,14.1,-0.3,0.0,0.0,0.0,11.6,0.1,0.0
03/25/2024 - 9,0.2,"2,961.6","1,008.8",15.6,"6,100.7",20.5,0.9,-0.5,"1,080.9","2,227.6",0.7,-0.1,0.1,324.4,68.3,0.2,0.1,2.4,2.5,-0.1,-0.7,14.3,-0.3,0.0,0.0,0.0,17.2,0.1,0.0
03/25/2024 - 10,0.3,"3,507.3","1,041.8",3.2,"6,137.5",1.4,0.9,-0.3,"1,065.4","2,319.9",0.3,-0.2,0.1,64.7,4.1,0.0,0.1,1.4,0.5,-0.1,-0.5,14.7,-0.4,0.0,0.0,0.0,12.9,0.0,0.0
03/25/2024 - 11,0.2,"3,006.8","1,013.7",17.7,"6,145.0",18.3,0.8,-0.5,"1,085.8","2,254.2",0.7,-0.1,0.1,352.6,75.9,0.2,0.1,2.5,5.0,-0.1,-0.6,14.4,-0.4,0.0,0.0,0.0,17.7,0.1,0.0
03/25/2024 - 12,0.3,"3,733.7","1,021.1",3.0,"6,088.1",1.4,0.8,-0.4,936.7,"2,344.5",0.3,-0.2,0.1,67.1,11.9,0.0,0.3,1.4,-0.2,-0.1,-0.6,14.4,-0.4,0.0,0.0,0.0,12.8,0.0,0.0
03/25/2024 - 13,0.3,"3,023.7","1,023.3",19.2,"6,220.5",17.6,0.7,-0.5,"1,096.3","2,260.1",0.7,-0.1,0.1,393.3,90.1,0.2,0.1,2.7,2.1,-0.1,-0.7,14.6,-0.4,0.0,0.0,0.0,18.4,0.0,0.0
03/25/2024 - 14,0.3,"3,430.7","1,046.5",5.8,"6,191.0",2.1,0.9,-0.3,"1,104.1","2,344.3",0.3,-0.2,0.0,70.6,18.2,0.0,0.2,1.5,29.2,-0.1,-0.6,15.2,-0.4,0.0,0.0,0.0,16.5,0.0,0.0
03/25/2024 - 15,0.5,"3,031.6",765.1,46.4,"9,772.0",8.3,0.6,-0.6,820.7,"1,945.7",1.0,-0.1,0.1,36.6,6.4,0.0,0.1,-0.1,93.4,-0.2,-0.8,12.7,-0.4,0.0,0.0,0.0,17.1,0.0,0.0
03/25/2024 - 16,0.5,"3,371.1",785.2,19.5,"9,885.6",6.2,0.6,-0.4,840.0,"1,997.7",0.7,-0.2,0.1,8.4,3.5,0.0,0.6,-0.1,44.5,-0.2,-0.5,12.9,-0.4,0.0,0.0,0.0,14.5,0.0,0.0
